epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,9055.06,1.43083,2.2317,1.23083,1.52344,0.81872,0.79411,0.85655,0.52063,0.80292,0.70541,0.79057,0.47186,1.32169,2.53046,0.7816,1.59091,0.00422449,0.00422449,0.00422449
85,9148.83,1.42468,2.20262,1.21523,1.51107,0.82709,0.78347,0.85542,0.52082,0.80014,0.7056,0.7822,0.46693,1.31464,2.52242,0.78968,1.57732,0.00412246,0.00412246,0.00412246
86,9242.29,1.42429,2.2032,1.2137,1.51251,0.82806,0.79426,0.85373,0.52313,0.79548,0.72468,0.79283,0.47397,1.30915,2.50954,0.78679,1.5813,0.00402084,0.00402084,0.00402084
87,9335.63,1.43422,2.20172,1.21421,1.52777,0.81235,0.80403,0.85729,0.52243,0.814,0.69971,0.78286,0.47152,1.32181,2.51228,0.78427,1.59052,0.00391966,0.00391966,0.00391966
88,9429.04,1.41088,2.2002,1.19685,1.50994,0.81979,0.79033,0.85801,0.52871,0.80477,0.71674,0.79354,0.47496,1.30671,2.65309,0.77197,1.59889,0.00381899,0.00381899,0.00381899
89,9522.79,1.42566,2.20504,1.20494,1.51926,0.84118,0.78934,0.85962,0.53297,0.80501,0.71884,0.78722,0.47947,1.30173,2.60341,0.76181,1.58117,0.00371885,0.00371885,0.00371885
90,9615.95,1.41235,2.19667,1.20382,1.51154,0.82503,0.80139,0.85873,0.52853,0.78657,0.71548,0.77784,0.4744,1.31004,2.64394,0.77581,1.58439,0.00361929,0.00361929,0.00361929
91,9709.51,1.4114,2.17216,1.19528,1.5084,0.82547,0.78991,0.85399,0.52579,0.77511,0.73017,0.77992,0.47154,1.30437,2.58632,0.78025,1.57812,0.00352037,0.00352037,0.00352037
92,9803.01,1.39891,2.18765,1.18418,1.5063,0.83792,0.78103,0.86055,0.52861,0.79175,0.71634,0.78045,0.47282,1.30876,2.59277,0.77033,1.58259,0.00342211,0.00342211,0.00342211
93,9896.72,1.40755,2.17863,1.1855,1.5069,0.82875,0.78795,0.85604,0.5244,0.7814,0.7243,0.78004,0.47062,1.315,2.61531,0.77285,1.5948,0.00332457,0.00332457,0.00332457
94,9990,1.39419,2.18509,1.17506,1.5019,0.83009,0.7864,0.85476,0.5301,0.77288,0.71544,0.76708,0.46893,1.30573,2.67993,0.77014,1.58993,0.00322778,0.00322778,0.00322778
95,10083.7,1.39377,2.19421,1.17517,1.5016,0.82663,0.79435,0.85617,0.52935,0.76608,0.716,0.76328,0.4661,1.30726,2.7057,0.77749,1.58727,0.0031318,0.0031318,0.0031318
96,10177.1,1.39113,2.14632,1.16913,1.49851,0.82202,0.79269,0.85492,0.52837,0.76556,0.70571,0.7595,0.46436,1.3054,2.71913,0.77684,1.58969,0.00303665,0.00303665,0.00303665
