epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,20230.7,1.08441,1.95852,0.84384,1.40306,0.83404,0.78743,0.85587,0.52865,0.82451,0.7797,0.84533,0.48848,1.30795,1.50944,0.74409,1.61161,0.0003515,0.0003515,0.0003515
92,20424.5,1.08174,2.00092,0.85683,1.4039,0.83226,0.79326,0.85714,0.52409,0.8176,0.78297,0.84079,0.48561,1.31992,1.51014,0.7362,1.61975,0.00034985,0.00034985,0.00034985
93,20650.7,1.08627,1.97843,0.85409,1.40059,0.8377,0.7846,0.8618,0.53341,0.83195,0.77572,0.85264,0.49332,1.30442,1.51038,0.72564,1.58726,0.0003482,0.0003482,0.0003482
94,20844.7,1.08933,1.99316,0.856,1.4028,0.8542,0.7638,0.85543,0.5266,0.84373,0.75444,0.84184,0.48647,1.3129,1.54447,0.73077,1.59505,0.00034655,0.00034655,0.00034655
95,21038.7,1.07112,1.96832,0.84034,1.38884,0.84661,0.78391,0.8603,0.53295,0.83457,0.76925,0.843,0.49187,1.30633,1.5877,0.72186,1.5943,0.0003449,0.0003449,0.0003449
96,21232.7,1.0737,1.9733,0.82773,1.38759,0.83669,0.78531,0.85909,0.53309,0.82601,0.77456,0.84632,0.48912,1.30231,1.56886,0.72457,1.58104,0.00034325,0.00034325,0.00034325
97,21433,1.0841,2.00843,0.85389,1.39795,0.83339,0.80683,0.86708,0.53558,0.81966,0.78718,0.84994,0.49663,1.3146,1.55437,0.72345,1.61572,0.0003416,0.0003416,0.0003416
98,21627.3,1.08662,1.98565,0.84197,1.39901,0.84108,0.79046,0.86185,0.5338,0.82903,0.77502,0.84582,0.4912,1.31288,1.54497,0.72762,1.62237,0.00033995,0.00033995,0.00033995
99,21821.1,1.06857,1.95122,0.82499,1.38767,0.84294,0.80077,0.86525,0.5371,0.82763,0.78438,0.84763,0.49922,1.29525,1.56845,0.72737,1.60734,0.0003383,0.0003383,0.0003383
100,22015.2,1.06751,1.96947,0.83631,1.39007,0.83848,0.80611,0.86391,0.54044,0.83553,0.78765,0.85296,0.49621,1.29065,1.53914,0.72395,1.61098,0.00033665,0.00033665,0.00033665
